"","RMSE","MAE","R2"
"RandomForest",202.120348114722,152.47246890953,0.588816759641948
"KNN",239.087490246794,178.308904454859,0.476587600652241
"XGBoost",202.884032278587,154.039614344296,0.592496159441006
