"","Very Low","Low","Medium","High","Very High"
"Very Low",16713,10587,7451,2269,108
"Low",12337,11848,9040,3647,256
"Medium",4576,8978,10605,11150,1819
"High",2911,4481,7764,13371,8602
"Very High",592,1234,2268,6690,26343
